"","player_id","player"
"195",76113,"Thomas Barr"
"196",2857,"Andre Barrett"
"197",76114,"Ernie Barrett"
"198",2853,"Earl Barron"
"199",344,"Dana Barros"
"200",699,"Brent Barry"
"201",1003,"Drew Barry"
"202",468,"Jon Barry"
"203",600013,"Rick Barry"
"204",76117,"Ed Bartels"
"205",76118,"Vic Bartolome"
"206",203115,"Will Barton"
"207",101188,"Eddie Basden"
"208",76119,"Jerry Baskerville"
"209",101138,"Brandon Bass"
"210",76120,"Tim Bassett"
"211",1766,"Maceo Baston"
"212",2370,"Mengke Bateer"
"213",76121,"Billyray Bates"
"214",101212,"Esteban Batista"
"215",2471,"Mike Batiste"
"216",1499,"Tony Battie"
"217",2203,"Shane Battier"
"218",174,"John Battle"
"219",76123,"Kenny Battle"
"220",76124,"Dave Batton"
"221",201587,"Nicolas Batum"
"222",76125,"Johnny Baum"
"223",76126,"Frankie Baumholtz"
"224",2437,"Lonny Baxter"
"225",201573,"Jerryd Bayless"
"226",76127,"Elgin Baylor"
"227",203382,"Aron Baynes"
"228",76128,"Sergei Bazarevich"
"229",203145,"Kent Bazemore"
"230",76129,"Ed Beach"
"231",203078,"Bradley Beal"
"232",76130,"Butch Beard"
"233",76131,"Ralph Beard"
"234",2602,"Jerome Beasley"
"235",1627736,"Malik Beasley"
"236",201563,"Michael Beasley"
"237",76133,"Zelmo Beaty"
"238",201958,"Rodrigue Beaubois"
"239",76134,"Byron Beck"
"240",1133,"Corey Beck"
"241",76136,"Ernie Beck"
"242",76137,"Moe Becker"
"243",76138,"William Bedford"
"244",76139,"Hank Beenders"
"245",76140,"Ron Behagen"
"246",76141,"Elmer Behnke"
"247",201158,"Marco Belinelli"
"248",2294,"Charlie Bell"
"249",76142,"Dennis Bell"
"250",1952,"Raja Bell"
"251",2559,"Troy Bell"
"252",76143,"William Bell"
"253",76144,"Walt Bellamy"
"254",1627761,"DeAndre Bembry"
"255",76145,"Irv Bemoras"
"256",76146,"Leon Benbow"
"257",1627733,"Dragan Bender"
"258",1886,"Jonathan Bender"
"259",203968,"Jerrelle Benimon"
"260",104,"Benoit Benjamin"
"261",1736,"Corey Benjamin"
"262",203461,"Anthony Bennett"
"263",1120,"Elmer Bennett"
"264",712,"Mario Bennett"
"265",76151,"Mel Bennett"
"266",76148,"Tony Bennett"
"267",76152,"Winston Bennett"
"268",128,"David Benoit"
"269",202728,"Keith Benson"
"270",76154,"Kent Benson"
"271",76155,"Gene Berce"
"272",76156,"Gary Bergen"
"273",76157,"Ricky Berry"
"274",76158,"Walter Berry"
"275",202722,"Davis Bertans"
"276",76159,"Del Beshore"
